a,b,c,d,e,f,g,h,i,j,k,l,target
18.99,12827.9,2,425000,12.36,0,3,0,34,40,1,0,0
11.39,5802.5,5,425000,19.13,0,2,0,34,10,1,0,0
13.49,8051.7,10,425000,11.31,1,1,0,36,36.43,-1,0,0
18.99,4357.1,7,420000,15.99,0,1,0,37,30,1,1,1
13.99,3489.5,8,420000,2.68,3,0,1,52,20,-1,1,1
21.49,4372.8,2,415000,23.04,0,0,0,46,30,1,0,1
11.49,7913.2,10,415000,7.23,0,0,0,36,10,1,0,0
5.32,8846.3,10,415000,22.83,1,1,0,28,50,-1,0,0
8.99,10174.5,1,400000,6.02,7,0,0,37,20,1,1,1
7.24,9296.1,2,400000,5.21,0,1,0,42,10,1,0,0
17.99,10155.2,2,400000,6.45,0,1,0,49,20,1,1,1
13.49,7361.6,2,400000,11.72,0,0,3,35,40,-1,0,0
8.24,6289.5,3,400000,19.1,1,1,0,31,30,1,1,0
11.49,4945.7,4,400000,12.5,0,2,1,34,30,-1,1,1
14.99,12131.2,6,400000,4.92,2,4,1,42,30,1,0,1
21.49,7652.4,7,400000,10.24,0,0,0,35,10,1,0,1
5.32,9636.8,7,400000,11.54,1,0,0,46,10,1,0,0
15.99,8436.6,7,400000,12.86,0,2,0,28,10,1,0,0
16.99,8696.6,9,400000,19.97,1,2,0,34,10,1,0,0
10.49,12999.1,10,400000,8.03,0,0,0,33,10,1,0,1
6.99,12125.2,10,400000,8.84,1,1,0,38,30,-1,0,0
11.39,9877.2,10,400000,10.93,0,1,0,55,70,1,0,0
8.24,7547.4,10,400000,15.38,2,0,0,31,5,1,0,0
11.49,3078.3,10,400000,17.85,0,2,0,43,30,1,0,0
7.99,2506.6,9,399000,11.7,1,0,0,26,30,-1,0,0
11.44,11531.7,8,396000,5.15,0,0,6,29,5,1,0,0
17.99,8885.8,7,393000,9.75,1,0,0,45,10,1,0,0
8.24,7547.4,10,385000,6.55,0,1,0,30,10,1,0,0
5.32,9034.5,5,380000,8.91,0,0,0,34,10,1,1,0
6.99,9956.4,10,380000,15.39,1,0,0,29,20,1,1,1
6.99,10805.4,10,380000,21.47,0,0,0,33,40,1,1,0
10.49,11122.4,3,375000,12.81,0,0,0,29,30,1,0,0
11.44,3294.8,7,375000,13.29,0,0,0,37,10,1,0,0
17.99,5494.5,8,375000,7.75,0,1,3,37,10,1,1,0
8.24,6289.5,10,375000,8.01,1,1,0,31,10,1,1,1
14.99,8665.2,2,370000,17.74,0,2,0,29,30,1,1,1
8.24,8156.6,2,365000,9.31,0,0,0,30,30,1,0,0
14.99,5708.4,1,360000,10.99,1,0,0,33,10,1,0,0
6.99,7409.5,4,360000,3.6,0,2,0,51,30,1,0,0
15.99,3890.1,5,360000,2.88,0,1,0,31,20,1,0,1
5.32,9034.5,5,360000,16.45,0,0,0,36,30,-1,0,0
14.99,8324.7,10,360000,9.09,1,0,1,45,10,1,1,1
11.49,11540,10,360000,9.21,0,0,1,50,20,1,0,0
11.39,11523.4,10,360000,9.72,0,2,1,45,10,1,1,0
7.49,9330.5,10,356000,15.75,0,2,0,41,10,-1,0,0
7.24,10845.5,1,350000,6.17,0,0,0,32,30,1,0,0
12.79,11757.6,1,350000,17.17,0,0,0,40,20,1,1,1
17.99,5077.6,2,350000,20.9,0,0,0,29,20,1,1,1
13.99,5467.7,3,350000,5.1,1,0,0,41,20,1,1,0
12.74,6713.8,3,350000,8.58,0,0,1,56,20,1,1,1
12.74,10070.7,3,350000,13.31,1,0,2,44,30,1,1,1
18.99,12827.9,4,350000,6.57,0,2,1,34,30,-1,1,1
7.99,5676.1,4,350000,11.58,1,0,0,42,30,1,0,0
5.32,10540.2,5,350000,6.4,0,0,1,37,10,1,1,0
17.99,8885.8,6,350000,4.28,0,1,0,33,47.28,1,0,0
16.99,6764.2,7,350000,7.18,0,0,1,24,10,1,0,0
14.49,8259.9,8,350000,5.82,0,1,0,49,20,1,1,1
8.59,12643.8,10,350000,5.24,1,1,1,45,20,1,1,1
11.49,11540,10,350000,6.99,1,1,0,29,33.33,1,0,0
6.99,3087.3,10,350000,9.96,0,1,0,31,30,1,0,0
5.32,4517.3,10,350000,12.54,0,0,1,32,30,1,0,0
11.49,13188.6,5,349000,34.61,0,0,0,40,10,1,0,0
13.49,11875.7,10,341000,18.09,0,1,0,48,20,1,1,1
18.99,4149.7,2,340000,10.59,0,0,0,29,30,1,0,0
12.79,11757.6,10,340000,5.85,0,1,0,42,20,1,1,1
19.99,4767.9,3,335000,9.69,0,0,0,44,10,1,0,0
13.49,11332.8,1,330000,4.95,0,0,0,33,30,1,1,0
10.49,6629.6,3,330000,28.67,1,0,0,36,20,-1,1,1
5.32,8673.1,10,330000,11.83,1,0,0,26,30,1,0,0
11.49,11317.4,2,325000,12.88,2,0,1,46,40,1,1,0
18.99,8286.3,3,325000,2.67,1,2,0,45,30,1,1,1
14.99,12131.2,3,325000,24.54,0,5,0,33,30,1,0,1
11.39,6669,6,325000,15.18,1,0,0,29,30,1,0,0
5.32,9734.7,8,325000,15.56,0,0,0,55,30,1,0,0
13.49,8051.7,10,325000,9.78,2,1,0,44,30,-1,0,1
7.49,3110.2,1,320000,4.25,0,0,0,41,30,1,0,0
8.24,6289.5,1,320000,17.55,0,0,0,37,30,1,0,1
5.32,4818.4,2,320000,10.92,1,0,0,40,20,1,0,0
7.99,12532.8,5,320000,2.44,0,0,0,38,10,1,0,0
24.74,10219.7,6,320000,6.02,0,0,1,30,30,1,0,0
11.49,9891.4,7,320000,18.17,0,0,0,50,10,1,0,1
6.99,12349.1,10,320000,11.38,0,0,0,44,30,-1,0,0
11.39,11153,9,315000,26.51,0,0,0,32,20,1,1,1
16.99,1782.4,10,315000,20.02,1,0,0,51,30,-1,1,0
13.49,5216.4,1,305000,20.4,0,1,0,47,30,1,0,0
11.49,6948.7,5,305000,13.73,0,0,0,35,10,1,0,1
6.99,5557.1,1,300000,4.79,0,0,0,22,40,1,0,0
14.49,8259.9,1,300000,5.28,2,0,2,32,20,1,1,1
21.49,5466,1,300000,8.6,0,3,0,41,30,-1,0,1
11.44,11531.7,1,300000,12.98,0,1,0,32,20,1,1,1
7.24,9706.7,1,300000,15.33,0,0,0,39,30,1,0,0
8.24,6117.5,1,300000,21.89,1,1,0,36,30,1,0,0
8.24,2515.8,2,300000,6.91,0,2,0,28,40,1,0,0
15.99,8788.1,2,300000,10.32,0,1,1,41,20,-1,1,0
5.32,4517.3,2,300000,13.52,0,0,0,38,30,1,0,0
11.39,11523.4,2,300000,17.67,0,0,6,37,30,1,0,1
11.49,8176.9,3,300000,12.92,1,4,5,40,25,-1,1,1
12.74,8143.3,3,300000,20.54,0,0,0,28,39.88,1,0,0
7.49,10885.6,4,300000,3.71,2,3,0,29,30,1,0,1
11.49,824.3,5,300000,3.66,0,0,0,41,40,1,1,0
19.99,6853.9,5,300000,14.87,0,2,0,27,30,1,0,0
7.24,4648.1,6,300000,10.33,1,0,0,54,20,1,0,0
15.99,10343.6,9,300000,4.03,0,1,5,27,30,-1,0,0
15.99,7030.5,9,300000,8.66,0,1,0,30,30,1,1,1
11.49,9471,9,300000,11.84,1,0,0,35,20,1,1,1
5.32,10540.2,10,300000,2.17,1,1,0,42,30,1,0,0
7.99,3243.5,10,300000,7.13,0,0,2,32,10,1,0,0
8.24,3144.8,10,300000,8.2,0,1,0,51,30,1,1,1
12.74,4028.3,10,300000,8.56,0,0,0,35,10,-1,0,0
10.99,13093.6,10,300000,9.25,0,2,0,24,20,-1,1,1
8.24,4717.1,10,300000,9.29,0,1,1,39,40,1,1,0
12.79,8910.6,10,300000,10.74,2,0,8,43,20,1,1,1
16.99,12476.8,10,300000,11.54,0,1,0,48,30,1,1,1
16.99,7129.6,10,300000,13.86,0,1,0,29,5,1,0,0
13.49,3393.1,10,300000,19.64,0,2,0,49,10,1,0,1
11.39,3950.9,10,300000,20.89,0,0,0,25,30,-1,0,1
11.39,7678.1,10,300000,23.83,1,0,0,47,20,-1,1,1
10.49,6499.6,10,300000,25.16,0,0,0,38,10,1,0,0
13.49,9042.5,10,300000,27.06,0,0,0,39,20,1,1,1
13.49,11875.7,2,295000,22.6,1,3,0,45,10,1,1,1
7.99,7519.7,1,290000,6.77,0,1,0,46,30,1,0,0
17.99,723,10,290000,11.38,0,3,0,41,30.06,-1,0,0
11.39,4938.6,10,290000,13.27,0,1,0,44,10,1,0,0
10.49,11374.3,7,289000,13.32,0,0,0,23,10,1,1,1
30.79,5361.2,7,288000,1.61,0,2,0,31,30,1,0,1
15.59,699.1,3,285984,0.31,3,3,0,49,20,1,1,1
11.39,8687.3,1,285000,8.6,0,1,2,28,30,1,0,0
8.24,9434.2,2,285000,6.71,0,1,0,36,10,1,0,0
17.99,4569.9,5,285000,6.92,0,2,1,59,10,-1,0,0
7.49,2239.4,5,285000,32.4,0,2,0,39,30,1,0,0
15.99,9725.1,10,285000,15.15,0,0,0,51,30,1,1,0
8.24,8156.6,1,280000,8.03,1,0,0,30,20,-1,1,1
10.49,11374.3,5,280000,21.95,0,0,0,24,30,-1,1,0
8.24,11006.6,10,280000,6.81,1,0,6,25,20,1,1,0
7.24,10845.5,10,280000,17.67,1,4,2,32,20,1,1,0
5.32,7227.6,10,276516,4.05,1,0,0,40,60,1,1,1
13.99,10935.3,7,276000,20.43,0,0,0,48,50,1,0,0
15.99,9725.1,6,275500,18.1,0,1,0,38,30,1,1,1
10.49,11374.3,3,275000,23.88,0,0,0,29,35,1,1,0
14.99,3466.1,5,275000,6.25,1,2,0,39,10,-1,0,0
19.99,9271,5,275000,8.05,2,4,1,51,30,1,1,1
19.99,4238.2,5,275000,23.34,0,0,0,38,30,1,0,0
16.99,3564.8,7,275000,13.94,0,3,3,31,20,1,1,1
8.24,4894,9,275000,11.31,0,1,0,35,30,1,1,0
7.99,9399.6,9,275000,22.78,0,0,0,28,30,1,1,0
11.49,6594.3,10,275000,5.12,2,1,0,33,20,1,0,0
8.24,1572.4,10,275000,11.53,0,4,0,25,20,1,1,1
13.99,6868.8,10,275000,22.75,0,1,0,27,30,1,1,1
11.49,824.3,3,270000,9.18,0,0,0,30,25,1,0,0
13.49,5751.2,3,270000,13.35,0,0,0,39,20,-1,1,0
11.39,9218.7,10,270000,2.65,1,0,0,53,20,1,1,0
7.49,7775.5,10,269000,11.11,0,0,0,33,50,1,0,0
17.99,8885.8,10,267000,10.35,0,1,0,39,30,1,1,1
25.69,10415.1,3,265000,12.77,0,3,0,44,20,1,1,1
13.49,4750.3,3,265000,25.03,0,3,0,45,40,1,1,0
5.32,1505.8,8,265000,15.59,0,1,0,35,30,1,0,0
6.99,9539.7,9,265000,10.71,0,2,0,47,5,1,0,0
11.49,10163.4,9,265000,22.9,0,1,1,47,20,1,1,1
13.99,6548.6,1,264000,12.13,0,0,0,37,30,1,0,0
8.24,11006.6,1,260000,11.03,1,0,0,42,20,1,0,0
5.32,9636.8,1,260000,16.37,1,0,0,27,30,1,0,1
5.32,10540.2,2,260000,11.74,1,0,0,48,10,1,0,0
13.99,6979,2,260000,13.42,0,0,1,38,30,1,0,1
17.99,4062.1,2,260000,19.57,0,3,0,45,20,1,1,1
8.24,5660.5,5,260000,4.24,3,0,0,38,10,1,0,0
10.49,2112.4,8,260000,6.06,0,1,1,31,20,1,1,1
5.32,12046,10,260000,14.88,0,1,0,30,30,1,0,0
8.24,6525.3,10,260000,15.93,0,0,0,31,30,1,1,0
11.39,8231,10,260000,16.89,0,0,4,30,10,1,0,0
11.49,10163.4,10,260000,18.83,0,0,0,25,30,1,0,1
6.99,7718.2,10,259379,18.4,0,0,0,48,30,1,0,1
19.99,5297.7,2,257500,18.3,1,1,0,30,20,1,1,1
15.99,8509.5,2,255000,17.83,1,0,0,30,10,-1,0,0
13.49,11875.7,3,255000,8.12,0,0,1,33,20,1,1,1
7.99,4699.8,4,255000,7.85,1,1,0,40,20,1,0,1
11.44,10675,5,255000,10.91,1,1,0,33,54.6,1,1,0
7.24,7746.8,10,255000,6.53,0,0,0,43,30,1,1,1
11.44,7686.9,10,255000,7.66,0,0,0,29,30,1,0,1
10.49,5199.7,10,255000,10.54,0,0,0,40,20,1,0,1
13.99,7601.3,2,254000,24.88,1,0,0,32,20,1,1,1
11.49,7695.7,10,252000,21.57,1,0,0,39,20,1,1,1
8.24,7547.4,2,251125,30.12,1,0,0,47,30,1,1,1
29.99,8489.3,1,250000,0.38,0,3,0,32,20,1,0,1
11.49,11540,1,250000,1.96,2,1,1,27,20,1,0,1
10.99,11456.9,1,250000,8.33,2,1,0,42,20,-1,1,1
18.99,6221.6,1,250000,8.33,0,0,1,42,30,1,1,1
8.24,3262.7,1,250000,12.51,0,0,0,32,30,1,0,0
11.39,5926.3,1,250000,14.41,0,0,0,27,50,1,1,0
14.99,5199.1,1,250000,16.12,0,1,4,43,40,-1,1,1
8.24,3019,1,250000,19.06,1,0,0,25,30,1,0,1
12.74,11749.1,1,250000,19.29,0,2,0,33,20,1,1,1
5.32,1505.8,2,250000,4.05,1,1,0,39,5,1,0,0
11.44,1647.4,2,250000,4.1,0,0,1,40,10,1,0,0
11.39,11243.5,2,250000,13.46,1,0,1,24,10,1,0,0
14.99,7135.5,2,250000,18.06,0,5,0,41,20,1,0,0
29.49,7065.1,2,250000,18.56,0,1,0,39,30,1,1,1
12.74,7238.5,2,250000,23.21,0,0,0,44,10,1,0,1
12.74,10163,3,250000,4.04,1,0,0,29,30,1,1,1
8.24,11006.6,3,250000,9.33,0,0,1,53,30,1,0,1
5.32,4336.6,3,250000,14.1,0,0,0,44,47,1,0,0
6.99,9261.8,3,250000,14.26,2,1,0,25,30,-1,0,0
18.99,9419.3,4,250000,4.42,0,1,1,44,20,-1,1,1
22.74,5888.7,4,250000,17.29,0,0,0,31,40,1,0,1
14.99,4757,5,250000,1.23,2,0,0,30,30,1,0,0
10.49,8595.6,5,250000,2.71,2,0,0,49,10,-1,0,0
7.49,4665.3,5,250000,8.05,0,0,2,38,40,1,0,0
10.49,6499.6,5,250000,13.29,1,0,0,38,20,1,1,1
14.99,4107.3,5,250000,16.78,1,3,0,43,50,1,1,0
5.32,6263.9,6,250000,18.82,0,0,0,29,10,1,0,0
7.99,10966.2,6,250000,18.83,0,1,0,40,20,-1,1,1
11.44,9884.3,7,250000,8.66,0,0,0,29,10,1,0,0
11.49,11540,7,250000,18.99,0,1,0,55,30,1,1,1
10.49,12999.1,8,250000,0.12,0,0,0,47,10,1,0,0
14.99,12131.2,8,250000,15.08,1,0,0,35,30,1,0,0
5.32,5420.7,8,250000,20.46,0,1,0,30,30,1,0,0
7.49,9330.5,10,250000,2.97,0,0,14,26,30,1,1,0
14.99,346.7,10,250000,5.05,0,0,0,32,30,1,1,0
12.74,3356.9,10,250000,5.3,1,0,1,29,20,1,1,0
22.74,3813.7,10,250000,6.39,3,1,1,38,10,-1,0,0
13.99,9568.4,10,250000,7.68,0,2,0,28,20,-1,0,1
12.74,1678.5,10,250000,7.87,0,2,0,33,40,1,0,0
17.99,4337.7,10,250000,8.26,1,3,0,36,10,1,0,0
5.32,4517.3,10,250000,8.58,0,1,0,41,30,-1,0,0
12.79,11757.6,10,250000,8.58,1,1,0,44,20,1,1,1
6.99,6174.6,10,250000,8.89,0,0,0,51,20,1,1,0
5.32,3011.5,10,250000,9.62,0,0,0,31,30,1,1,0
10.49,6499.6,10,250000,10.35,0,0,2,30,30,-1,0,1
12.74,5643.8,10,250000,12,1,1,0,33,20,1,1,0
7.99,10966.2,10,250000,13.73,0,0,0,34,20,1,1,0
13.49,10179.2,10,250000,15.51,0,1,1,30,30,1,0,0
8.24,7547.4,10,250000,16.22,0,1,0,32,30,1,0,0
17.99,2538.8,10,250000,17.22,1,1,0,35,30,1,1,1
11.44,3130.1,10,250000,19.58,0,0,0,27,10,1,0,0
11.44,13179,10,250000,21.16,0,0,0,48,10,1,0,0
14.99,3743.4,10,250000,21.57,0,1,0,35,10,1,0,0
6.99,7718.2,10,250000,21.97,1,1,0,26,20,-1,1,1
7.49,12440.7,10,250000,22.07,1,0,0,31,30,1,0,0
26.24,10529,10,250000,22.76,0,2,0,47,10,1,0,1
10.49,11374.3,10,250000,23.53,0,0,0,29,10,-1,0,0
12.74,6831.3,3,249000,10.39,2,0,1,31,30,1,0,0
6.99,12349.1,10,245085,9.85,0,0,0,31,40,1,1,0
13.99,10935.3,1,245000,11.35,0,1,0,27,40,1,0,0
11.49,2489.4,1,245000,14.94,0,1,0,25,30,-1,1,1
14.99,5199.1,2,245000,4.7,0,2,0,49,20,1,1,1
22.74,5047.5,2,245000,15.48,0,0,0,44,30,1,0,0
11.39,3292.4,4,245000,23.71,0,0,0,35,20,1,1,1
21.49,13274.5,10,245000,1.27,0,2,0,31,30,1,0,1
13.49,6901.5,10,245000,29.37,0,0,0,35,30,1,1,1
24.74,6387.4,10,244204,6.71,0,0,2,45,30,-1,1,1
14.99,10900.8,7,243709,26.05,0,1,1,50,10,1,0,0
11.49,3297.2,10,242600,15.44,0,0,0,35,30,1,0,1
5.32,6023,6,241000,14.15,0,0,0,26,30,1,0,0
13.99,9568.4,9,241000,11.65,0,1,0,43,20,1,1,1
10.49,6499.6,10,241000,17.79,2,0,0,32,10,1,1,1
21.49,9565.5,1,240000,13.39,0,0,0,29,10,1,0,1
7.24,11155.4,1,240000,13.63,0,0,0,36,10,-1,0,0
15.59,12234.3,1,240000,14.09,0,2,0,38,20,1,1,1
5.32,2108.1,2,240000,3.93,0,0,0,46,30,-1,0,0
13.99,6513.7,2,240000,11.48,0,0,0,31,30,1,1,0
11.49,6924,2,240000,15.02,1,2,0,33,10,-1,0,0
11.49,9380.4,4,240000,15.77,0,1,1,29,20,1,1,1
7.99,10966.2,5,240000,13.62,0,3,0,27,20,1,1,1
11.49,8242.9,6,240000,9,5,0,0,34,30,-1,1,1
19.99,7946.5,8,240000,16.97,0,2,1,36,30,1,0,0
5.32,2409.2,9,240000,14.79,0,0,0,33,30,1,1,0
13.49,2714.5,9,240000,33.99,0,0,0,38,30,-1,1,0
7.49,7775.5,10,240000,6.46,0,0,0,26,10,1,1,0
8.24,6289.5,10,240000,8.16,0,0,0,37,30,1,0,0
5.32,5420.7,10,240000,9.89,0,0,0,44,20,1,0,0
11.49,5275.5,10,240000,11.96,0,0,0,38,30,1,1,1
11.39,6142.5,10,240000,13.05,0,1,0,35,40,1,1,0
28.69,11043.7,10,240000,18.4,2,0,0,38,30,1,0,1
5.32,9034.5,10,240000,22.57,0,0,0,28,30,1,1,1
7.99,5013.1,3,238500,7.37,1,0,0,44,10,1,1,0
15.99,7030.5,1,235000,5.46,1,3,0,47,30,1,0,0
6.99,10805.4,1,235000,8.86,0,0,0,43,30,1,0,1
10.49,11374.3,2,235000,16.47,0,1,0,32,10,-1,0,0
15.99,6692.1,7,235000,13.04,1,2,0,33,30,1,1,0
10.49,2599.9,8,235000,2.27,0,0,2,36,30,-1,0,1
11.44,6589.5,8,235000,15.01,0,0,0,34,30,1,0,0
14.99,8318.6,9,235000,11.65,0,4,1,44,20,1,0,0
22.74,8412.4,10,235000,16.06,2,2,0,42,10,1,1,0
12.74,10179.8,10,235000,16.41,0,1,0,38,10,1,0,0
13.99,10935.3,2,234000,9.13,1,0,0,35,30,1,1,0
13.49,11875.7,10,234000,19.49,0,5,0,30,30,1,1,1
5.32,8883.9,4,231000,13.55,0,0,0,35,30,1,0,0
18.99,5446.4,1,230000,9.98,3,2,0,33,30,1,0,0
11.39,4606.9,1,230000,18.43,0,1,0,51,30,1,1,1
10.99,8289.9,1,230000,24.24,0,1,0,39,20,1,1,1
7.99,12532.8,2,230000,14.65,0,1,0,38,30,-1,0,0
11.44,4942.2,5,230000,2.86,0,0,0,33,30,1,0,0
11.44,3294.8,6,230000,3.83,0,0,0,36,20,1,0,0
5.32,2891.1,10,230000,2.84,0,0,0,36,30,1,0,0
13.49,7361.6,10,230000,6.34,1,0,0,28,30,1,1,0
11.39,9877.2,10,230000,7.85,0,0,1,32,30,1,0,1
8.24,7137.1,10,230000,11.11,0,1,1,25,30,1,1,0
15.99,5835.1,10,230000,13.93,0,0,0,32,30,-1,0,0
13.99,9568.4,10,230000,14.66,1,3,0,30,30,1,1,1
25.49,5335.1,10,230000,19,0,0,0,26,30,1,0,1
11.39,8403.8,9,227011,18.71,0,1,0,35,30,-1,0,0
11.39,1580.4,7,226572,9.91,0,0,0,41,30,-1,1,1
13.49,3053.8,10,226000,7.98,0,0,0,33,30,-1,0,0
13.49,10857.8,1,225000,6.59,0,0,0,48,30,1,1,1
5.32,9034.5,1,225000,6.81,0,0,0,38,10,1,0,0
13.99,4187.4,1,225000,13.8,0,0,0,30,20,1,1,0
22.74,13501.1,1,225000,15.66,0,1,0,40,30,1,0,1
10.49,3249.8,1,225000,17.8,0,2,7,26,20,1,1,1
15.99,7030.5,1,225000,20.46,3,0,0,41,30,1,1,1
13.49,2035.9,1,225000,22.06,0,0,0,33,20,1,1,1
13.99,13669.2,1,225000,33.39,0,2,0,36,30,-1,1,0
19.99,4767.9,2,225000,19.97,0,1,0,25,40,1,0,0
8.24,12578.9,3,225000,10.04,2,0,0,26,20,1,1,1
13.99,7791.4,3,225000,11.61,1,0,0,41,20,1,1,1
15.59,7230.3,4,225000,11.14,0,0,0,37,20,1,1,1
13.49,8143.4,4,225000,24.71,1,1,0,48,30,-1,0,0
17.99,6093.2,5,225000,10.52,0,0,1,30,30,1,0,1
18.99,9077.3,5,225000,17.86,0,4,0,45,20,1,1,1
17.99,3976.3,7,225000,3.65,0,0,3,38,10,1,0,0
8.24,5709.7,7,225000,10.38,0,0,0,33,30,1,0,1
7.49,7775.5,10,225000,0.57,1,0,0,32,30,-1,0,1
13.99,8142.1,10,225000,11.71,0,1,0,39,20,1,1,1
17.99,5077.6,10,225000,13.09,0,0,0,37,10,1,0,0
13.99,1708.7,10,225000,15.7,1,0,0,38,30,1,1,1
11.44,5490.7,10,225000,15.89,0,1,0,43,10,1,0,0
5.32,10540.2,10,225000,19.89,0,0,0,30,30,1,0,0
13.99,11960.5,10,225000,20.8,0,0,0,39,30,1,0,0
11.39,9877.2,10,225000,24.44,0,1,0,31,30,1,0,0
12.74,7989.4,1,222000,25.67,0,0,0,25,20,1,1,1
13.49,10586.4,1,220000,12.99,0,3,0,40,30,1,0,1
5.32,7227.6,2,220000,7.05,0,0,0,37,10,1,0,0
8.24,2264.2,2,220000,13.56,3,0,0,29,30,1,1,0
21.49,6559.2,2,220000,22.59,3,0,1,30,20,-1,0,1
16.99,7129.6,2,220000,24.92,0,0,0,40,30,1,1,1
23.99,7767.1,3,220000,2.44,0,2,0,23,20,1,1,1
15.99,6807.6,3,220000,14.5,0,1,2,47,30,1,1,1
5.32,10269.2,3,220000,17.62,0,0,0,46,30,1,0,0
10.49,8595.6,4,220000,7.04,1,0,0,30,10,-1,0,0
11.44,4942.2,5,220000,17.91,1,1,1,39,30,1,0,1
16.99,11710.3,6,220000,2.29,1,0,0,37,30,1,1,1
17.99,12651.6,6,220000,9.57,0,1,0,33,10,1,0,0
25.29,10332.6,6,220000,16.61,3,2,0,26,20,1,1,1
12.74,10742.1,8,220000,6.9,0,1,4,38,10,-1,0,0
18.99,10995.3,8,220000,7.02,1,1,1,36,20,-1,1,1
21.49,10931.9,9,220000,30.7,0,1,0,52,30,1,1,1
8.24,3019,10,220000,6.83,1,0,3,48,30,1,0,0
13.49,8293.2,10,220000,9.15,0,0,0,29,40,1,0,0
11.39,3950.9,10,220000,21.97,0,1,0,25,58.61,-1,0,0
11.39,11523.4,10,220000,23.95,5,0,7,26,10,1,0,1
7.99,10966.2,6,218000,11.46,0,1,1,33,10,1,0,0
6.99,7602.4,1,216000,16.84,0,0,0,33,30,1,0,1
18.99,10995.3,5,216000,1.99,0,0,0,38,20,1,1,1
30.79,3940.9,10,216000,3.61,0,1,1,29,30,1,0,1
14.49,13766.5,3,215000,1.28,0,0,0,32,20,1,1,1
12.74,7238.5,3,215000,11.48,0,0,1,56,30,1,0,1
8.24,3144.8,3,215000,21.64,2,0,0,22,20,1,1,1
10.49,4874.7,4,215000,11.39,0,2,0,32,30,-1,1,1
7.99,12532.8,5,215000,15.88,0,0,0,34,10,1,0,0
19.99,2229.6,7,215000,3.54,3,0,1,45,10,-1,0,0
11.49,5275.5,8,215000,15.96,4,0,0,38,20,1,1,1
13.49,11349.8,10,215000,11.47,0,0,0,39,10,1,1,1
22.74,9814.5,10,215000,14.96,0,5,1,26,10,1,0,1
19.99,9271,8,213000,22.69,0,0,0,31,30,1,0,0
6.99,2469.9,6,212000,18.44,0,0,0,54,10,-1,1,0
18.99,3734.7,10,212000,5.27,0,0,0,30,20,1,0,1
13.49,3206.5,1,210000,8.57,0,0,0,41,20,1,0,0
7.24,3718.5,1,210000,15.95,1,4,0,29,40,1,1,0
17.99,12651.6,1,210000,20.23,0,3,0,31,30,-1,0,0
11.39,10864.9,2,210000,12.3,3,0,0,33,40,-1,1,0
